tconst,primaryTitle,title,region,actor1,actor2,actor3,actor4,actor5,actress1,actress2,actress3,actress4,actress5,director1,director2,writer1,writer2,writer3,originalTitle,genre1,genre2,genre3,original_title,original_language,overview,origin_country,poster_path,tmdb_id
tt0480025,This Is England,This is England,FR,Stephen Graham,Andrew Shim,,,,Jo Hartley,,,,,Shane Meadows,,,,,This Is England,Crime,Drama,,This Is England,en,"1983. Shaun, 12 ans, habite avec sa mère dans une ville côtière du nord de l'Angleterre. Garçon solitaire, c'est pour lui le début des vacances d'été, lorsqu'il rencontre un groupe de skinheads locaux. Avec eux, Shaun découvre le monde des fêtes, du premier amour et des bottes Dr Martens. Le ton change quand Combo, un skinhead raciste et plus âgé, sort de prison. Alors que sa bande harcèle les communautés étrangères locales, Shaun va subir un rite de passage qui le sortira violemment de l'enfance.",,https://image.tmdb.org/t/p/w600_and_h900_bestv2/eULrtiN6kw61JgJCezy9lc3ygsP.jpg,11798.0
tt1618434,Murder Mystery,Murder Mystery,FR,Luke Evans,Terence Stamp,,,,Jennifer Aniston,,,,,Kyle Newacheck,,James Vanderbilt,,,Murder Mystery,Action,Comedy,Crime,Murder Mystery,en,Un policier de New York et sa femme deviennent les suspects du meurtre d'un milliardaire qui les avait invités sur son yacht lors de vacances en Europe.,,https://image.tmdb.org/t/p/w600_and_h900_bestv2/bSMSO9xupd4R4vwTPqigHn2quLN.jpg,514999.0
tt1878870,The Edge of Seventeen,The Edge of Seventeen,FR,,,,,,Hailee Steinfeld,Haley Lu Richardson,Kyra Sedgwick,,,Kelly Fremon Craig,,,,,The Edge of Seventeen,Comedy,Drama,,The Edge of Seventeen,en,Nadine et Krista découvrent le monde merveilleux du lycée. Mais leur belle amitié est mise à mal lorsque la première apprend que la seconde sort avec son grand frère...,,https://image.tmdb.org/t/p/w600_and_h900_bestv2/iY5UEYuGxHfaYJ3vAUAWwFGMV7V.jpg,376660.0
tt0373051,Journey to the Center of the Earth,Voyage au centre de la Terre,FR,Josh Hutcherson,Seth Meyers,,,,Anita Briem,,,,,Eric Brevig,,Michael D. Weiss,Jennifer Flackett,Mark Levin,Journey to the Center of the Earth,Action,Adventure,Family,Journey to the Center of the Earth,en,"Personne ne croit plus le professeur Trevor Anderson lorsqu'il affirme être sur le point de faire une extraordinaire découverte. Ses hypothèses révolutionnaires l'ont mis au ban de la communauté scientifique. Pourtant, au cours d'une expédition en Islande, Trevor et son neveu, le jeune Sean, sous la conduite de leur guide islandaise Hannah, vont se retrouver plongés dans l'inconnu. Dans leur périple vers les profondeurs de la Terre, ils rencontreront des mondes inexplorés, des merveilles extraordinaires, des dangers mortels et des créatures fabuleuses... Une seule chose est certaine : à 6 km sous la surface, tout peut arriver.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/h18wSZ0AV7dJsegTwrDn13iiqG9.jpg,88751.0
tt0118617,Anastasia,Anastasia,FR,Christopher Lloyd,Kelsey Grammer,,,,Meg Ryan,,,,,Don Bluth,Gary Goldman,Noni White,Susan Gauthier,Bruce Graham,Anastasia,Adventure,Animation,Drama,Anastasia,en,"Saint‐Pétersbourg, 1917. Comment l’impératrice Marie et sa petite fille Anastasia vont être sauvées du funeste sort, provoqué par la révolution, qui s’abat sur la famille impériale, par un jeune employé de cuisine : Dimitri. Mais le destin les sépare une nouvelle fois. Dix ans après la chute des Romanov, une rumeur persistante se propage : la fille cadette de l’empereur serait encore en vie…",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/6X7R5y3Nku0nWvxzj80B4KfKMfG.jpg,9444.0
tt0314353,Tears of the Sun,Les larmes du soleil,FR,Cole Hauser,Eamonn Walker,,,,Monica Bellucci,,,,,Antoine Fuqua,,Alex Lasker,Patrick Cirillo,,Tears of the Sun,Action,Drama,Thriller,Tears of the Sun,en,"Au Nigéria, la famille du Président vient d'être assassinée et une guerre civile est sur le point d'éclater. Un commando secret mené par le lieutenant Waters est envoyé aux confins de la jungle afin de faire évacuer Lena Kendriks, une femme médecin travaillant pour une organisation humanitaire, d'un village menacé par les rebelles. Mais le cours de la mission change lorsque celle-ci refuse de partir sans les villageois...",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/mEKi7xJoiLTVQ4j0qbfwJMAZkxy.jpg,9567.0
tt8404614,The Two Popes,Les deux Papes,FR,Jonathan Pryce,Juan Minujín,Luis Gnecco,,,,,,,,Fernando Meirelles,,Anthony McCarten,,,The Two Popes,Biography,Comedy,Drama,The Two Popes,en,"Dans cette histoire inspirée de faits réels, le pape Benoît XVI tisse une amitié improbable avec le futur pape François à un moment clé pour l'Église catholique.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/oZo511rCqquy6VfRwtobXStYqwh.jpg,551332.0
tt0055630,Yojimbo,Le garde du corps,FR,Eijirô Tôno,Tatsuya Nakadai,,,,Yôko Tsukasa,,,,,Akira Kurosawa,,Ryûzô Kikushima,,,Yôjinbô,Action,Drama,Thriller,用心棒,ja,"À la fin de l’ère Edo, un samouraï, Sanjuro, arrive dans un village écartelé entre deux bandes rivales, menées d’un côté par le bouilleur de saké, de l’autre par le courtier en soie. Les deux bandes veulent s’adjoindre les services de Sanjuro…",JP,https://image.tmdb.org/t/p/w600_and_h900_bestv2/2o0wBhokLzemNkZ1uQr4JspjeRO.jpg,11878.0
tt0355295,The Brothers Grimm,Les frères Grimm,FR,Heath Ledger,Petr Ratimec,,,,Monica Bellucci,,,,,Terry Gilliam,,Ehren Kruger,,,The Brothers Grimm,Action,Adventure,Comedy,The Brothers Grimm,en,"À l'aube du XIXe siècle, les frères Grimm étaient connus dans toutes les campagnes pour être les seuls capables de vaincre les esprits maléfiques et les créatures en tous genres qui épouvantaient les villages. Leur lucrative entreprise cachait cependant un petit secret : Jacob et Will se contentaient de combattre les monstres diaboliques que leurs complices animaient grâce à d'ingénieux trucages et d'impressionnantes mises en scène...Lorsque les autorités les obligent à se rendre à Marbaden, l'enjeu est tout autre. Le hameau vit dans la terreur absolue depuis que ses petites filles sont enlevées les unes après les autres. Cette fois, les frères Grimm n'ont pas affaire à une illusion. Avec la très belle Angelika, ils vont découvrir que la forêt lugubre renferme un terrible secret, un monde de magie et de sortilèges peuplé des plus incroyables créatures...",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/7relrJI3WIoF4PLnfdbhuqXeDNt.jpg,4442.0
tt0070666,Serpico,Serpico,FR,John Randolph,Jack Kehoe,Biff McGuire,,,,,,,,Sidney Lumet,,Peter Maas,Waldo Salt,Norman Wexler,Serpico,Biography,Crime,Drama,Serpico,en,"Policier intègre, Serpico lutte contre la corruption généralisée au sein de la police new-yorkaise. Détesté de tous, collègues comme supérieurs, il ne pourra compter que sur lui-même pour mener à bien sa croisade pour la justice.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/cL82vu7K2LWi9GgVi9dEFtYVMlW.jpg,9040.0
tt6343314,Creed II,Creed II,FR,Sylvester Stallone,,,,,Tessa Thompson,Phylicia Rashad,,,,Steven Caple Jr.,,Juel Taylor,Sascha Penn,Cheo Hodari Coker,Creed II,Drama,Sport,,Creed II,en,"La vie est devenue un numéro d'équilibriste pour Adonis Creed. Entre ses obligations personnelles et son entraînement pour son prochain grand match, il est à la croisée des chemins. Et l'enjeu du combat est d'autant plus élevé que son rival est lié au passé de sa famille. Mais il peut compter sur la présence de Rocky Balboa à ses côtés : avec lui, il comprendra ce qui vaut la peine de se battre et découvrira qu'il n'y a rien de plus important que les valeurs familiales.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/84FrvyX2QiAy2QXYSanaCcnqgE1.jpg,480530.0
