tconst,primaryTitle,title,region,actor1,actor2,actor3,actor4,actor5,actress1,actress2,actress3,actress4,actress5,director1,director2,writer1,writer2,writer3,originalTitle,genre1,genre2,genre3,original_title,original_language,overview,origin_country,poster_path,tmdb_id
tt0111161,The Shawshank Redemption,Les Évadés,FR,Morgan Freeman,Bob Gunton,William Sadler,,,,,,,,Frank Darabont,,Stephen King,,,The Shawshank Redemption,Drama,,,The Shawshank Redemption,en,"En 1947, Andy Dufresne, un jeune banquier, est condamné à la prison à vie pour le meurtre de sa femme et de son amant. Ayant beau clamer son innocence, il est emprisonné à Shawshank, le pénitencier le plus sévère de l'État du Maine. Il y fait la rencontre de Red, un noir désabusé, détenu depuis vingt ans. Commence alors une grande histoire d'amitié entre les deux hommes...",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/xqfTE9FjwD5vS1A6QnyoMdPQUvh.jpg,278.0
tt0468569,The Dark Knight,The Dark Knight : Le Chevalier noir,FR,Heath Ledger,Aaron Eckhart,Michael Caine,,,,,,,,Christopher Nolan,,Jonathan Nolan,David S. Goyer,Bob Kane,The Dark Knight,Action,Crime,Drama,The Dark Knight,en,"La suite de Batman Begins, The Dark Knight, le réalisateur Christopher Nolan et l'acteur Christian Bale, qui endosse à nouveau le rôle de Batman/Bruce Wayne dans sa guerre permanente contre le crime. Avec l'aide du Lieutenant de Police Jim Gordon et du Procureur Harvey Dent, Batman entreprend de démanteler définitivement les organisations criminelles de Gotham. L'association s'avère efficace, mais le trio se heurte bientôt à un nouveau génie du crime, plus connu sous le nom du Joker, qui va plonger Gotham dans l'anarchie et pousser Batman à la limite entre héros et assassin. Heath Ledger interprète Le Joker : le méchant suprême et Aaron Eckhart joue le rôle de Dent. Maggie Gyllenhaal complète le casting en tant que Rachel Dawes. De retour après Batman Begins, Gary Oldman est à nouveau Gordon, Michael Caine interprète Alfred, et Morgan Freeman est Lucius Fox.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/pyNXnq8QBWoK3b37RS6C3axwUOy.jpg,155.0
tt1375666,Inception,Inception,FR,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,,,,,,,,Christopher Nolan,,,,,Inception,Action,Adventure,Sci-Fi,Inception,en,"Dom Cobb est un voleur expérimenté, le meilleur dans l'art dangereux de l'extraction, voler les secrets les plus intimes enfouis au plus profond du subconscient durant une phase de rêve, lorsque l'esprit est le plus vulnérable. Les capacités de Cobb ont fait des envieux dans le monde tourmenté de l'espionnage industriel alors qu'il devient fugitif en perdant tout ce qu'il a un jour aimé. Une chance de se racheter lui est alors offerte. Une ultime mission grâce à laquelle il pourrait retrouver sa vie passée mais uniquement s'il parvient à accomplir l'impossible inception.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/aej3LRUga5rhgkmRP6XMFw3ejbl.jpg,27205.0
tt0137523,Fight Club,Fight Club,FR,Edward Norton,Meat Loaf,Zach Grenier,,,,,,,,David Fincher,,Chuck Palahniuk,Jim Uhls,,Fight Club,Drama,,,Fight Club,en,"Le narrateur, sans identité précise, vit seul, travaille seul, dort seul, mange seul ses plateaux‐repas pour une personne comme beaucoup d’autres personnes seules qui connaissent la misère humaine, morale et sexuelle. C’est pourquoi il va devenir membre du Fight club, un lieu clandestin où il va pouvoir retrouver sa virilité, l’échange et la communication. Ce club est dirigé par Tyler Durden, une sorte d’anarchiste entre gourou et philosophe qui prêche l’amour de son prochain.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/jSziioSwPVrOy9Yow3XhWIBDjq1.jpg,550.0
tt0109830,Forrest Gump,Forrest Gump,FR,Gary Sinise,,,,,Robin Wright,Sally Field,,,,Robert Zemeckis,,Winston Groom,Eric Roth,,Forrest Gump,Drama,Romance,,Forrest Gump,en,"Forrest Gump est le symbole d’une époque, un candide dans une Amérique qui a perdu son innocence. Merveilleusement interprété par Tom Hanks, Forrest vit une série d’aventures, de l’état d’handicapé physique à celui de star du football, de héros du Vietnam au roi de la crevette, des honneurs de la Maison Blanche au bonheur d’une grande histoire d’amour. Son cœur dépasse les limites de son Q.I.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/A0Th0x8QIzP0njrFAJnYQ5ouIoB.jpg,13.0
tt0110912,Pulp Fiction,Pulp Fiction,FR,Samuel L. Jackson,Bruce Willis,,,,Uma Thurman,,,,,Quentin Tarantino,,Roger Avary,,,Pulp Fiction,Crime,Drama,,Pulp Fiction,en,"L’odyssée sanglante et burlesque de petits malfrats dans la jungle d’Hollywood : Deux petits tueurs, un dangereux gangster marié à une camée, un boxeur roublard, des prêteurs sur gages sadiques, un caïd élégant et dévoué, un dealer bon mari et deux tourtereaux à la gâchette facile.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/4TBdF7nFw2aKNM0gPOlDNq3v3se.jpg,680.0
tt0133093,The Matrix,Matrix,FR,Laurence Fishburne,Hugo Weaving,,,,Carrie-Anne Moss,,,,,Lana Wachowski,Lilly Wachowski,,,,The Matrix,Action,Sci-Fi,,The Matrix,en,"Programmeur anonyme dans un service administratif le jour, Thomas Anderson devient Neo la nuit venue. Sous ce pseudonyme, il est l’un des pirates les plus recherchés du cyber‐espace. À cheval entre deux mondes, Neo est assailli par d’étranges songes et des messages cryptés provenant d’un certain Morpheus. Celui‐ci l’exhorte à aller au‐delà des apparences et à trouver la réponse à la question qui hante constamment ses pensées : qu’est‐ce que la Matrice ? Nul ne le sait, et aucun homme n’est encore parvenu à en percer les défenses. Mais Morpheus est persuadé que Neo est l’Élu, le libérateur mythique de l’humanité annoncé selon la prophétie. Ensemble, ils se lancent dans une lutte sans retour contre la Matrice et ses terribles agents…",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/pEoqbqtLc4CcwDUDqxmEDSWpWTZ.jpg,603.0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Le Seigneur des anneaux : La Communauté de l'anneau,FR,Ian McKellen,Orlando Bloom,Sean Bean,,,,,,,,Peter Jackson,,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,The Lord of the Rings: The Fellowship of the Ring,Action,Adventure,Drama,The Lord of the Rings: The Fellowship of the Ring,en,"Le jeune et timide Hobbit, Frodon Sacquet, hérite d'un anneau. Bien loin d'être une simple babiole, il s'agit de l'Anneau Unique, un instrument de pouvoir absolu qui permettrait à Sauron, le Seigneur des ténèbres, de régner sur la Terre du Milieu et de réduire en esclavage ses peuples. À moins que Frodon, aidé d'une Compagnie constituée de Hobbits, d'Hommes, d'un Magicien, d'un Nain, et d'un Elfe, ne parvienne à emporter l'Anneau à travers la Terre du Milieu jusqu'à la Crevasse du Destin, lieu où il a été forgé, et à le détruire pour toujours. Un tel périple signifie s'aventurer très loin en Mordor, les terres du Seigneur des ténèbres, où est rassemblée son armée d'Orques maléfiques... La Compagnie doit non seulement combattre les forces extérieures du mal mais aussi les dissensions internes et l'influence corruptrice qu'exerce l'Anneau lui-même.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/5OPg6M0yHr21Ovs1fni2H1xpKuF.jpg,120.0
tt0068646,The Godfather,Le Parrain,FR,Al Pacino,James Caan,,,,Diane Keaton,,,,,Francis Ford Coppola,,Mario Puzo,,,The Godfather,Crime,Drama,,The Godfather,en,"La Seconde Guerre mondiale vient de s'achever. À New York, le « parrain » Don Corleone, l'un des chefs respectés de la mafia, se sent vieillir. Il refuse de s'adapter à son temps et de se lancer, comme ses pairs, dans le trafic de drogue. Une frilosité qui entrave la bonne marche des affaires des autres « familles » et qui lui vaut d'être la cible d'un attentat. Don Corleone survit à ses blessures, mais reste très diminué. Mike, son plus jeune fils, qui jusque-là se tenait à l'écart des affaires de son père, devient le plus dévoué de ses héritiers. Plus efficace que ses frères, Sonny et Fredo, il venge son père et organise l'élimination de ses adversaires…",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/wnDNKCeBQzioXYQrXcSyrmRHVxf.jpg,238.0
tt0816692,Interstellar,Interstellar,FR,,,,,,Anne Hathaway,Jessica Chastain,Mackenzie Foy,,,Christopher Nolan,,Jonathan Nolan,,,Interstellar,Adventure,Drama,Sci-Fi,Interstellar,en,"Dans un futur proche, face à une Terre exsangue, un groupe d’explorateurs utilise un vaisseau interstellaire pour franchir un trou de ver permettant de parcourir des distances jusque‐là infranchissables. Leur but : Trouver un nouveau foyer pour l’humanité.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/1pnigkWWy8W032o9TKDneBa3eVK.jpg,157336.0
tt1345836,The Dark Knight Rises,The Dark Knight Rises,FR,Tom Hardy,Gary Oldman,,,,Anne Hathaway,,,,,Christopher Nolan,,Jonathan Nolan,David S. Goyer,Bob Kane,The Dark Knight Rises,Action,Crime,Drama,The Dark Knight Rises,en,"Afin que l'image de l'ex-procureur Harvey Dent reste un modèle du genre pour les citoyens de Gotham City, Batman a endossé les crimes de ce dernier et a été chassé de la ville par les autorités.  Huit ans plus tard, alors que Gotham City est de nouveau sûre, le commissaire Gordon tombe sur un complot qui vise à détruire la ville de l'intérieur.  Il fait appel à Batman. Ce dernier devra faire face à la mystérieuse Selina Kyle et à Bane, un adversaire mortel, qui veut mettre en pièce le symbole Batman.",GB,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ApcGBERN0p9I0nDOIwJeEmpnLU5.jpg,49026.0
tt0114369,Se7en,Seven,FR,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,,,,,,,,David Fincher,,,,,Se7en,Crime,Drama,Mystery,Se7en,en,"Pour conclure sa carrière, l’inspecteur Somerset, vieux flic blasé, tombe à sept jours de la retraite sur un criminel peu ordinaire. John Doe, c’est ainsi que se fait appeler l’assassin, a décidé de nettoyer la société des maux qui la rongent en commettant sept meurtres basés sur les sept péchés capitaux : La gourmandise, l’avarice, la paresse, l’orgueil, la luxure, l’envie et la colère.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/moHx8JGzIdEAMLj1CqDzcLYhMRY.jpg,807.0
tt1853728,Django Unchained,Django Unchained,FR,Christoph Waltz,Leonardo DiCaprio,,,,Kerry Washington,,,,,Quentin Tarantino,,,,,Django Unchained,Drama,Western,,Django Unchained,en,"Dans le sud des États‐Unis, deux ans avant la guerre de Sécession, le Dr King Schultz, un chasseur de primes allemand, fait l’acquisition de Django, un esclave qui peut l’aider à traquer les frères Brittle, les meurtriers qu’il recherche. Schultz promet à Django de lui rendre sa liberté lorsqu’il aura capturé les Brittle – morts ou vifs. Alors que les deux hommes pistent les dangereux criminels, Django n’oublie pas que son seul but est de retrouver Broomhilda, sa femme, dont il fut séparé à cause du commerce des esclaves… Lorsque Django et Schultz arrivent dans l’immense plantation du puissant Calvin Candie, ils éveillent les soupçons de Stephen, un esclave qui sert Candie et a toute sa confiance. Le moindre de leurs mouvements est désormais épié par une dangereuse organisation de plus en plus proche… Si Django et Schultz veulent espérer s’enfuir avec Broomhilda, ils vont devoir choisir entre l’indépendance et la solidarité, entre le sacrifice et la survie…",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/hodO0759IB5LbzUiiLKB50gT2UO.jpg,68718.0
tt0372784,Batman Begins,Batman Begins,FR,Michael Caine,Ken Watanabe,Liam Neeson,,,,,,,,Christopher Nolan,,Bob Kane,David S. Goyer,,Batman Begins,Action,Crime,Drama,Batman Begins,en,"Alors que le souvenir de ses parents assassinés le hante, Bruce Wayne, désemparé, erre à travers le monde cherchant les moyens de combattre l'injustice et ses propres peurs. Avec l'aide de son dévoué majordome et homme de confiance Alfred, de l'inspecteur Jim Gordon et de son allié Lucius Fox, Wayne revient à Gotham City et révèle son alter ego: Batman, un justicier masqué qui utilise sa force, son intelligence et une batterie d'armes high-tech pour combattre les forces sinistres qui menacent la ville…",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/pqB8Xlu0QdwsONakoiKtortANdn.jpg,272.0
tt0361748,Inglourious Basterds,Inglourious Basterds,FR,Eli Roth,,,,,Diane Kruger,Mélanie Laurent,,,,Quentin Tarantino,,,,,Inglourious Basterds,Adventure,Drama,War,Inglourious Basterds,en,"Dans la France occupée de 1941, Shosanna Dreyfus assiste à l’exécution de sa famille tombée entre les mains du colonel nazi Hans Landa. Shosanna s’échappe de justesse et s’enfuit à Paris où elle se construit une nouvelle identité en devenant exploitante d’une salle de cinéma. Quelque part ailleurs en Europe, le lieutenant Aldo Raine forme un groupe de soldats juifs américains pour mener des actions punitives particulièrement sanglantes contre les nazis. « Les bâtards », nom sous lequel leurs ennemis vont apprendre à les connaître, se joignent à l’actrice allemande et agent secret Bridget von Hammersmark pour tenter d’éliminer les hauts dignitaires du Troisième Reich. Leurs destins vont se jouer à l’entrée du cinéma où Shosanna est décidée à mettre à exécution une vengeance très personnelle.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/3yOfQLerEO2Qnb1VkSJ8WG3c0Jx.jpg,16869.0
tt0102926,The Silence of the Lambs,Le Silence des agneaux,FR,Lawrence A. Bonney,,,,,Jodie Foster,Kasi Lemmons,,,,Jonathan Demme,,Thomas Harris,Ted Tally,,The Silence of the Lambs,Crime,Drama,Thriller,The Silence of the Lambs,en,"Un psychopathe connu sous le nom de Buffalo Bill sème la terreur dans le Middle West en kidnappant et en assassinant de jeunes femmes. Clarice Starling, une jeune agent du FBI, est chargée d’interroger l’ex‐psychiatre Hannibal Lecter. Psychopathe redoutablement intelligent et porté sur le cannibalisme, Lecter est capable de lui fournir des informations concernant Buffalo Bill ainsi que son portrait psychologique. Mais il n’accepte de l’aider qu’en échange d’informations sur la vie privée de la jeune femme. Entre eux s’établit un lien de fascination et de répulsion.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/dwYqg3GXO2CdZ0s0LpgGID0z6wv.jpg,274.0
tt0848228,The Avengers,Avengers,FR,Chris Evans,Jeremy Renner,,,,Scarlett Johansson,,,,,Joss Whedon,,Zak Penn,,,The Avengers,Action,Adventure,Sci-Fi,The Avengers,en,"Lorsque la sécurité et l’équilibre de la planète sont menacés par un ennemi d’un genre nouveau, Nick Fury, le directeur du SHIELD, l’agence internationale du maintien de la paix, réunit une équipe pour empêcher le monde de basculer dans le chaos. Partout sur Terre, le recrutement des nouveaux héros dont le monde a besoin commence…",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ntpxTsTg3BsIRkMkNLffNjwftUf.jpg,24428.0
tt0076759,Star Wars,La guerre des étoiles,FR,Harrison Ford,Alec Guinness,,,,Carrie Fisher,,,,,George Lucas,,,,,Star Wars,Action,Adventure,Fantasy,Star Wars,en,"Il y a bien longtemps, dans une galaxie très lointaine... La guerre civile fait rage entre l'Empire galactique et l'Alliance rebelle. Capturée par les troupes de choc de l'Empereur menées par le sombre et impitoyable Dark Vador, la princesse Leia Organa dissimule les plans de l’Étoile Noire, une station spatiale invulnérable, à son droïde R2-D2 avec pour mission de les remettre au Jedi Obi-Wan Kenobi. Accompagné de son fidèle compagnon, le droïde de protocole C-3PO, R2-D2 s'échoue sur la planète Tatooine et termine sa quête chez le jeune Luke Skywalker. Rêvant de devenir pilote mais confiné aux travaux de la ferme, ce dernier se lance à la recherche de ce mystérieux Obi-Wan Kenobi, devenu ermite au cœur des montagnes désertiques de Tatooine...",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/rLi9cokiFU20mLUPvQ0IRok3ELY.jpg,11.0
tt0482571,The Prestige,Le Prestige,FR,Hugh Jackman,Michael Caine,,,,Scarlett Johansson,,,,,Christopher Nolan,,Jonathan Nolan,Christopher Priest,,The Prestige,Drama,Mystery,Thriller,The Prestige,en,"Londres, au début du siècle dernier... Robert Angier et Alfred Borden sont deux magiciens surdoués, promis dès leur plus jeune âge à un glorieux avenir. Une compétition amicale les oppose d'abord l'un à l'autre, mais l'émulation tourne vite à la jalousie, puis à la haine. Devenus de farouches ennemis, les deux rivaux vont s'efforcer de se détruire l'un l'autre en usant des plus noirs secrets de leur art. Cette obsession aura pour leur entourage des conséquences dramatiques...",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/37Fr7lY4QBHsuxlLJIfTNxW6nGW.jpg,1124.0
tt0407887,The Departed,Les infiltrés,FR,Matt Damon,Jack Nicholson,Mark Wahlberg,,,,,,,,Martin Scorsese,,William Monahan,Alan Mak,Felix Chong,The Departed,Crime,Drama,Thriller,The Departed,en,"À Boston, une lutte sans merci oppose la police à la pègre irlandaise. Pour mettre fin au règne du parrain Frank Costello, la police infiltre son gang avec «un bleu» issu des bas quartiers, Billy Costigan. Tandis que Billy s’efforce de gagner la confiance du malfrat vieillissant, Colin Sullivan entre dans la police au sein de l’Unité des Enquêtes Spéciales, chargée d’éliminer Costello. Mais Colin fonctionne en «sous‐marin» et informe Costello des opérations qui se trament contre lui. Risquant à tout moment d’être démasqués, Billy et Colin sont contraints de mener une double vie qui leur fait perdre leurs repères et leur identité. Traquenards et contre‐offensives s’enchaînent jusqu’au jour où chaque camp réalise qu’il héberge une taupe. Une course contre la montre s’engage entre les deux hommes avec un seul objectif: découvrir l’identité de l’autre sous peine d’y laisser sa peau…",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/xHeuF5zzlx1YxkULiz0mx1TMBJ7.jpg,1422.0
tt1130884,Shutter Island,Shutter Island,FR,Mark Ruffalo,Ben Kingsley,,,,Emily Mortimer,,,,,Martin Scorsese,,Laeta Kalogridis,Dennis Lehane,,Shutter Island,Mystery,Thriller,,Shutter Island,en,"En 1954, le marshal Teddy Daniels et son coéquipier Chuck Aule sont envoyés enquêter sur l’île de Shutter Island, dans un hôpital psychiatrique où sont internés de dangereux criminels. L’une des patientes, Rachel Solando, a inexplicablement disparu. Comment la meurtrière a‐t‐elle pu sortir d’une cellule fermée de l’extérieur ? Le seul indice retrouvé dans la pièce est une feuille de papier sur laquelle on peut lire une suite de chiffres et de lettres sans signification apparente. Œuvre cohérente d’une malade, ou cryptogramme ?",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/fQ0vGVTtxjCdAJnxwPZ88O3Wzrh.jpg,11324.0
tt0080684,Star Wars: Episode V - The Empire Strikes Back,L'Empire contre-attaque,FR,Harrison Ford,Billy Dee Williams,,,,Carrie Fisher,,,,,Irvin Kershner,,Leigh Brackett,Lawrence Kasdan,George Lucas,The Empire Strikes Back,Action,Adventure,Fantasy,The Empire Strikes Back,en,"Malgré la destruction de l’Étoile Noire, l'Empire maintient son emprise sur la galaxie, et poursuit sans relâche sa lutte contre l'Alliance rebelle. Basés sur la planète glacée de Hoth, les rebelles essuient un assaut des troupes impériales. Parvenus à s'échapper, la princesse Leia, Han Solo, Chewbacca et C-3P0 se dirigent vers Bespin, la cité des nuages gouvernée par Lando Calrissian, ancien compagnon de Han. Suivant les instructions d'Obi-Wan Kenobi, Luke Skywalker se rend quant à lui vers le système de Dagobah, planète marécageuse où il doit recevoir l'enseignement du dernier maître Jedi, Yoda. Apprenant l'arrestation de ses compagnons par les stormtroopers de Dark Vador après la trahison de Lando, Luke décide d'interrompre son entraînement pour porter secours à ses amis et affronter le sombre seigneur Sith...",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/qDvctAykmNWAmi9G2GrVrwWx3pr.jpg,1891.0
tt0499549,Avatar,Avatar,FR,,,,,,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,,,James Cameron,,,,,Avatar,Action,Adventure,Fantasy,Avatar,en,"Malgré sa paralysie, Jake Sully, un ancien marine immobilisé dans un fauteuil roulant, est resté un combattant au plus profond de son être. Il est recruté pour se rendre à des années-lumière de la Terre, sur Pandora, où de puissants groupes industriels exploitent un minerai rarissime destiné à résoudre la crise énergétique sur Terre. Parce que l'atmosphère de Pandora est toxique pour les humains, ceux-ci ont créé le Programme Avatar, qui permet à des ""pilotes"" humains de lier leur esprit à un avatar, un corps biologique commandé à distance, capable de survivre dans cette atmosphère létale. Ces avatars sont des hybrides créés génétiquement en croisant l'ADN humain avec celui des Na'vi, les autochtones de Pandora.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/3npygfmEhqnmNTmDWhHLz1LPcbA.jpg,19995.0
tt7286456,Joker,Joker,FR,Robert De Niro,,,,,Zazie Beetz,Frances Conroy,,,,Todd Phillips,,Scott Silver,Bob Kane,Bill Finger,Joker,Crime,Drama,Thriller,Joker,en,"Dans les années 1980, à Gotham City, Arthur Fleck, un humoriste de stand‐up raté, bascule dans la folie et devient le Joker.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/dCp0auHcFum1g6N1YSMLQmyVCT6.jpg,475557.0
tt0088763,Back to the Future,Retour vers le futur,FR,Christopher Lloyd,Crispin Glover,,,,Lea Thompson,,,,,Robert Zemeckis,,Bob Gale,,,Back to the Future,Adventure,Comedy,Sci-Fi,Back to the Future,en,"1985. Le jeune Marty McFly mène une existence anonyme auprès de sa petite amie Jennifer, seulement troublée par sa famille en crise et un proviseur qui serait ravi de l’expulser du lycée. Ami de l’excentrique professeur Emmett Brown, il l’accompagne un soir tester sa nouvelle expérience : le voyage dans le temps via une DeLorean modifiée. La démonstration tourne mal : des trafiquants d’armes débarquent et assassinent le scientifique. Marty se réfugie dans la voiture et se retrouve transporté en 1955. Là, il empêche malgré lui la rencontre de ses parents, et doit tout faire pour les remettre ensemble, sous peine de ne pouvoir exister…",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/y9bs2N5rEM51YBXbU7N5PaXJc6W.jpg,105.0
tt2015381,Guardians of the Galaxy,Les Gardiens de la Galaxie,FR,Vin Diesel,Bradley Cooper,,,,Zoe Saldana,,,,,James Gunn,,Keith Giffen,Nicole Perlman,Dan Abnett,Guardians of the Galaxy,Action,Adventure,Comedy,Guardians of the Galaxy,en,"Peter Quill est un aventurier traqué par tous les chasseurs de primes pour avoir volé un mystérieux globe convoité par le puissant Ronan, dont les agissements menacent l’univers tout entier. Lorsqu’il découvre le véritable pouvoir de ce globe et la menace qui pèse sur la galaxie, il conclut une alliance fragile avec quatre aliens disparates : Rocket, un raton laveur fin tireur, Groot, un humanoïde semblable à un arbre, l’énigmatique et mortelle Gamora, et Drax le Destructeur, qui ne rêve que de vengeance. En les ralliant à sa cause, il les convainc de livrer un ultime combat aussi désespéré soit‐il pour sauver ce qui peut encore l’être…",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/37pARvkxcWcEosG7xcVd4yAWpVa.jpg,118340.0
tt0169547,American Beauty,American Beauty,FR,Wes Bentley,,,,,Annette Bening,Thora Birch,,,,Sam Mendes,,Alan Ball,,,American Beauty,Drama,,,American Beauty,en,"Alors qu'il éprouve des difficultés à supporter une femme irascible, un travail ingrat et une ado morose, un homme tombe raide dingue d'une des amies de sa fille.",,https://image.tmdb.org/t/p/w600_and_h900_bestv2/eNSbdObtAlKDBlgBbEyrybeCrJU.jpg,14.0
tt0110413,Léon: The Professional,Léon,FR,Gary Oldman,Danny Aiello,,,,Natalie Portman,,,,,Luc Besson,,,,,Léon,Action,Crime,Drama,Léon: The Professional,en,Léon est un tueur professionnel redoutable et insaisissable. Il vit seul à New York avec sa plante verte et ses habitudes jusqu'au jour où une petite Mathilda de douze ans sonne à sa porte et fait irruption dans sa vie.,FR,https://image.tmdb.org/t/p/w600_and_h900_bestv2/sdY7ogAWQKzuh1NVPEueFsnBA8E.jpg,101.0
tt0099685,Goodfellas,Les affranchis,FR,Ray Liotta,Joe Pesci,,,,Lorraine Bracco,,,,,Martin Scorsese,,Nicholas Pileggi,,,Goodfellas,Biography,Crime,Drama,GoodFellas,en,"Brooklyn, dans les années 50. Depuis l'enfance, le jeune Henry Hill rêve de devenir gangster. À 16 ans, il se met en selle auprès de Paul Cicero, un caïd local, et commet ses premiers délits. Arrêté et interrogé, il refuse de parler et gagne ainsi le respect du milieu. À sa sortie de prison, il fait la connaissance de James Conway et de Tommy DeVito, deux truands d'une extrême violence, et se lance avec eux dans des trafics de grande envergure. Karen, une jeune bourgeoise qu'il courtise et finit par épouser, ne devine sa profession qu'après être passée devant l'officier d'état-civil. Grisé par le succès, Henry multiplie les coups les plus audacieux...",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/v4c6WMVqUlSJHMyjHNj72iTFGhm.jpg,769.0
tt0434409,V for Vendetta,V pour vendetta,FR,Rupert Graves,Stephen Rea,,,,Natalie Portman,,,,,James McTeigue,,Lilly Wachowski,Lana Wachowski,David Lloyd,V for Vendetta,Action,Drama,Sci-Fi,V for Vendetta,en,"Londres, au 21ème siècle… Evey Hammond ne veut rien oublier de l’homme qui lui sauva la vie et lui permit de dominer ses peurs les plus lointaines. Mais il fut un temps où elle n’aspirait qu’à l’anonymat pour échapper à une police secrète omnipotente. Comme tous ses concitoyens, trop vite soumis, elle acceptait que son pays ait perdu son âme et se soit donné en masse au tyran Sutler et à ses partisans. Une nuit, alors que deux « gardiens de l’ordre » s’apprêtaient à la violer dans une rue déserte, Evey vit surgir son libérateur. Et rien ne fut plus comme avant. Son apprentissage commença quelques semaines plus tard sous la tutelle de « V ». Evey ne connaîtrait jamais son nom et son passé, ne verrait jamais son visage atrocement brûlé et défiguré, mais elle deviendrait à la fois son unique disciple, sa seule amie et le seul amour d’une vie sans amour…",DE,https://image.tmdb.org/t/p/w600_and_h900_bestv2/4HFt1jyjZD3MssiyNPJLToqGd1v.jpg,752.0
tt0120586,American History X,American History X,FR,Edward Furlong,,,,,Beverly D'Angelo,Jennifer Lien,,,,Tony Kaye,,David McKenna,,,American History X,Drama,,,American History X,en,"À travers l’histoire d’une famille américaine, ce film tente d’expliquer l’origine du racisme et de l’extrémisme aux États‐Unis. Il raconte l’histoire de Derek qui, voulant venger la mort de son père, abattu par un dealer noir, a épousé les thèses racistes d’un groupuscule de militants d’extrême droite et s’est mis au service de son leader, brutal théoricien prônant la suprématie de la race blanche. Ces théories le mèneront à commettre un double meurtre entrainant son jeune frère, Danny, dans la spirale de la haine.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/yygSRdHdcIVPRNC0rDv658ZdJiD.jpg,73.0
tt0266697,Kill Bill: Vol. 1,Kill Bill: Volume I,FR,Michael Madsen,,,,,Uma Thurman,Daryl Hannah,,,,Quentin Tarantino,,,,,Kill Bill: Vol. 1,Action,Crime,Drama,Kill Bill: Vol. 1,en,"Au cours d'un mariage, un commando armé massacre l'assistance, laissant pour morte la Mariée et l'enfant qu'elle porte. Après 4 ans de coma, la Mariée se lance à la poursuite des assassins, membres du clan de Bill, au sein duquel, sous le pseudonyme de Black Mamba, elle exerça elle-même autrefois ses talents de redoutable tueuse...",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/hM2fUVWViGIJT0Twz2BTXOBEYLM.jpg,24.0
tt0910970,WALL·E,WALL·E,FR,Jeff Garlin,Fred Willard,,,,Elissa Knight,,,,,Andrew Stanton,,Pete Docter,Jim Reardon,,WALL·E,Adventure,Animation,Family,WALL·E,en,"Faites la connaissance de WALL·E (prononcez « Walli » ) : WALL·E est le dernier être sur Terre et s’avère être un… petit robot ! 700 ans plus tôt, l’humanité a déserté notre planète laissant à cette incroyable petite machine le soin de nettoyer la Terre. Mais au bout de ces longues années, WALL·E a développé un petit défaut technique : une forte personnalité. Extrêmement curieux, très indiscret, il est surtout un peu trop seul… Cependant, sa vie s’apprête à être bouleversée avec l’arrivée d’une petite « robote », bien carénée et prénommée EVE. Tombant instantanément et éperdument amoureux d’elle, WALL·E va tout mettre en œuvre pour la séduire. Et lorsqu’EVE est rappelée dans l’espace pour y terminer sa mission, WALL·E n’hésite pas un seul instant : il se lance à sa poursuite… Hors de question pour lui de laisser passer le seul amour de sa vie… Pour être à ses côtés, il est prêt à aller au bout de l’univers et vivre la plus fantastique des aventures !",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/dp6BdKiuDm9cKMT7JYNUWiUNR0o.jpg,10681.0
